Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10000,1780,61,4729,"974,86","12,430%","125,18308","99,39","30,44","813,0"
TOTAL,10000,1780,61,4729,"974,86","12,430%","125,18308","99,39","30,44","813,0"
